一级方向,二级分类,三级赛道,市值规模,标的名称,代码,入选说明,政策契合度,投资确定性
半导体国产化,设备材料,光刻硅片,中,彤程新材,603650,"KrF光刻胶量产领先者,ArF研发突破+绑定中芯/华虹",5,3
半导体国产化,设备材料,光刻硅片,中,华特气体,688268,"高纯电子特气龙头,16种产品通过台积电认证",5,4
半导体国产化,设备材料,光刻硅片,中,有研新材,600206,"金属靶材+高纯材料平台,半导体+光伏双轮驱动",5,4
半导体国产化,设备材料,光刻硅片,小,南大光电,300346,"ArF光刻胶通过客户验证,电子特气+前驱体协同布局",5,3
半导体国产化,设备材料,光刻硅片,小,晶瑞电材,300655,"i/g线光刻胶市占率领先,高端KrF/ArF持续送样验证",5,3
半导体国产化,设备材料,光刻硅片,小,凯美特气,002549,"电子级稀有气体突破,光刻气/激光气快速放量",5,4
半导体国产化,第三代半导体,SiC/GaN,大,三安光电,600703,"化合物半导体平台龙头,SiC衬底+器件+模组一体化布局",5,5
半导体国产化,第三代半导体,SiC/GaN,大,天岳先进,688234,"半绝缘型SiC衬底全球前三,导电型衬底产能快速释放",5,5
半导体国产化,第三代半导体,SiC/GaN,中,露笑科技,002617,"SiC衬底+设备自研突破,6英寸导电型量产良率提升",5,4
半导体国产化,第三代半导体,SiC/GaN,中,东尼电子,603595,"SiC衬底+超微细线材,碳化硅业务放量+消费电子复苏",5,4
半导体国产化,第三代半导体,SiC/GaN,小,天富能源,600509,"新疆电力+碳化硅衬底,低成本电力优势+衬底产能扩张",5,4
半导体国产化,第三代半导体,SiC/GaN,小,乾照光电,300102,"红黄光LED+砷化镓,化合物半导体技术积累+新业务拓展",5,3
人工智能,大模型基座,大模型基座,大,科大讯飞,002230,"星火大模型国内第一梯队,教育/医疗/政务场景深度绑定生态完善",5,5
人工智能,大模型基座,大模型基座,大,三六零,601360,"360智脑+安全大模型双轮,政企安全市场渠道优势突出",5,4
人工智能,大模型基座,大模型基座,大,昆仑万维,300418,"天工大模型+海外流量矩阵,多模态迭代快+应用端变现领先",5,4
人工智能,大模型基座,大模型基座,中,金山办公,688111,"WPS AI深度集成,办公场景大模型商业化落地标杆",5,5
人工智能,大模型基座,大模型基座,中,拓尔思,300229,"NLP+知识图谱+政务大模型,海量中文语料+垂直行业Agent",5,4
人工智能,大模型基座,大模型基座,中,汉王科技,002362,"多模态识别+端侧AI模型,OCR/笔迹/语音技术积累深厚",5,3
人工智能,大模型基座,大模型基座,小,海天瑞声,688787,"训练数据服务商,大模型语料需求爆发+数据标注龙头",5,4
人工智能,大模型基座,大模型基座,小,云从科技,688327,"人机协同操作系统,政务/金融场景深度绑定+大模型迭代",5,4
人工智能,算力基建,算力芯片,大,海光信息,688041,"x86架构DCU加速卡领军者,国产AI训练/推理芯片核心供应商生态成熟",5,5
人工智能,算力基建,算力芯片,大,中科曙光,603019,"高端服务器+智算中心龙头,海光生态核心绑定+液冷全栈方案",5,5
人工智能,算力基建,算力芯片,大,浪潮信息,000977,"AI服务器全球市占率前三,液冷整机交付+头部互联网客户绑定",5,4
人工智能,算力基建,算力芯片,中,寒武纪,688256,"云端/边缘/终端全栈AI芯片,思元系列迭代加速+软件栈持续完善",5,4
人工智能,算力基建,算力芯片,中,景嘉微,300474,"国产GPU图形+计算双轮驱动,军工+信创双场景验证订单稳步增长",5,4
人工智能,算力基建,算力芯片,中,龙芯中科,688047,"自主指令集LoongArch,CPU+GPU集成SoC端侧算力突破",5,4
人工智能,算力基建,算力芯片,小,国芯科技,688262,"嵌入式CPU+安全芯片,汽车电子+信创双轮驱动+国产替代",5,4
人工智能,算力基建,算力芯片,小,瑞芯微,603893,"端侧AI SoC龙头,NPU+轻量化模型部署方案成熟",5,4
人工智能,算力基建,光液冷,大,中际旭创,300308,"800G光模块全球市占率第一,英伟达/谷歌核心供应商技术迭代领先",5,5
人工智能,算力基建,光液冷,大,新易盛,300502,"高速光模块第二梯队龙头,800G/1.6T量产进度领先海外客户突破",5,5
人工智能,算力基建,光液冷,大,天孚通信,300394,"光无源器件/光引擎平台,硅光/CPO核心组件供应商毛利领先",5,5
人工智能,算力基建,光液冷,中,英维克,002837,"精密温控全方案龙头,冷板/浸没式液冷覆盖数据中心+储能",5,5
人工智能,算力基建,光液冷,中,光迅科技,002281,"光器件+光模块一体化平台,硅光技术储备深厚央企背景资源协同",5,4
人工智能,算力基建,光液冷,中,高澜股份,300499,"液冷技术专精企业,服务器/充电桩/储能液冷快速放量",5,4
人工智能,算力基建,光液冷,小,申菱环境,301018,"工业温控+数据中心液冷,华为核心供应商订单能见度高",5,4
人工智能,算力基建,光液冷,小,同飞股份,300990,"工业温控+储能热管理,液冷技术延伸+新能源场景拓展",5,4
战略资源,稀土永磁,稀土开采,大,北方稀土,600111,"全球最大轻稀土供应商,资源+冶炼+磁材一体化成本优势显著",5,5
战略资源,稀土永磁,稀土开采,大,金力永磁,300748,"高性能钕铁硼磁材龙头,新能源车/机器人/风电三大赛道全覆盖",5,5
战略资源,稀土永磁,稀土开采,大,中科三环,000970,"中科院背景磁材技术深厚,高端应用占比提升+客户结构优化",5,5
战略资源,稀土永磁,稀土开采,中,中国稀土,000831,"中重稀土战略平台企业,集团资产注入预期+战略资源属性突出",5,5
战略资源,稀土永磁,稀土开采,中,盛和资源,600392,"稀土+锆钛多金属布局,海外资源并购+回收业务拓展降本增效",5,5
战略资源,稀土永磁,稀土开采,中,宁波韵升,600366,"磁材+电机一体化平台,消费电子+工业电机双轮驱动业绩弹性大",5,4
战略资源,稀土永磁,稀土开采,小,正海磁材,300224,"高性能钕铁硼磁材,新能源车+风电双轮驱动+产能扩张",5,4
战略资源,稀土永磁,稀土开采,小,银河磁体,300127,"粘结钕铁硼全球龙头,微型电机+汽车电子需求稳定",5,4
战略资源,能源金属,铜锂钴,大,紫金矿业,601899,"全球铜金矿资源巨头,资源储量+并购能力+低成本开采三重壁垒",5,5
战略资源,能源金属,铜锂钴,大,天齐锂业,002466,"全球优质锂资源控股方,泰利森+SQM双平台成本优势全球领先",5,4
战略资源,能源金属,铜锂钴,大,赣锋锂业,002460,"锂生态全产业链布局,资源+冶炼+回收+电池一体化抗风险强",5,4
战略资源,能源金属,铜锂钴,中,洛阳钼业,603993,"铜钴钼钨多金属布局者,刚果金资源+贸易平台协同抗周期能力强",5,5
战略资源,能源金属,铜锂钴,中,华友钴业,603799,"镍钴锂+前驱体+正极一体化,印尼镍资源+回收业务双轮驱动",5,4
战略资源,能源金属,铜锂钴,中,盐湖股份,000792,"盐湖提锂成本全球最低,钾肥基本盘稳固+提锂产能稳步释放",5,4
战略资源,能源金属,铜锂钴,小,藏格矿业,000408,"盐湖提锂+铜矿资源,察尔汗盐湖+巨龙铜矿双轮驱动",5,4
战略资源,能源金属,铜锂钴,小,永兴材料,002756,"特钢+锂电双主业,云母提锂技术领先+成本优势突出",5,4
战略资源,战略小金属,锑钨锡,大,厦门钨业,600549,"钨钼+稀土+电池材料平台,硬质合金+光伏钨丝双轮增长技术领先",5,5
战略资源,战略小金属,锑钨锡,大,锡业股份,000960,"全球锡业绝对龙头,锡+铟+铜多金属布局新能源焊料拉动",5,5
战略资源,战略小金属,锑钨锡,大,章源钨业,002378,"钨矿+硬质合金一体化企业,上游资源自给率高成本控制能力突出",5,5
战略资源,战略小金属,锑钨锡,中,云南锗业,002428,"锗+砷化镓+磷化铟平台,化合物半导体材料核心供应商",5,4
战略资源,战略小金属,锑钨锡,中,湖南黄金,002155,"黄金+锑矿双资源储备,阻燃剂/军工锑需求拉动价格重估",5,5
战略资源,战略小金属,锑钨锡,中,华钰矿业,601020,"锑金多金属矿山,海外锑矿扩产+出口管制受益弹性大",5,4
战略资源,战略小金属,锑钨锡,小,中钨高新,000657,"硬质合金+数控刀具,高端刀具国产替代+产能扩张",5,4
战略资源,战略小金属,锑钨锡,小,驰宏锌锗,600497,"铅锌+锗资源一体化,锗回收+深加工技术领先",5,4
国防军工,主战装备,航空发动机,大,航发动力,600893,"国产航发唯一整机上市平台,WS-15量产交付+维修保障业务高毛利",5,5
国防军工,主战装备,航空发动机,大,中航沈飞,600760,"歼击机总装唯一上市平台,歼-20/歼-35核心供应商产能饱满",5,5
国防军工,主战装备,航空发动机,大,中航西飞,000768,"运输机轰炸机核心总装厂,运-20批量交付+轰-20预期战略价值高",5,5
国防军工,主战装备,航空发动机,中,航发控制,000738,"航发控制系统垄断供应商,信息化+智能化升级核心受益订单确定",5,5
国防军工,主战装备,航空发动机,中,钢研高纳,300034,"高温合金技术领军企业,单晶叶片+粉末冶金航发+燃机双轮驱动",5,5
国防军工,主战装备,航空发动机,中,航亚科技,688510,"航空发动机精锻件,压气机叶片+盘件核心配套良率领先",5,4
国防军工,主战装备,航空发动机,小,图南股份,300855,"铸造高温合金/特种不锈钢,航发+舰船发动机核心供应商产能释放",5,4
国防军工,主战装备,航空发动机,小,派克新材,605123,"航空锻件+环形锻件,航发+航天+核电多领域布局",5,4
国防军工,军工电子,信息化,大,紫光国微,002049,"特种集成电路绝对龙头,FPGA+智能安全芯片垄断优势军民双驱",5,5
国防军工,军工电子,信息化,大,中航光电,002179,"军用连接器全球第一,机载/舰载/车载高可靠连接器市占率领先",5,5
国防军工,军工电子,信息化,大,航天电器,002025,"高端连接器/继电器/微特电机,航天+航空+兵器多领域核心供应商",5,5
国防军工,军工电子,信息化,中,复旦微电,688385,"FPGA+安全芯片+MCU平台,军工+工业+消费三端布局产品线丰富",5,5
国防军工,军工电子,信息化,中,国睿科技,600562,"雷达+轨交双主业平台,有源相控阵技术领先军民融合典范",5,5
国防军工,军工电子,信息化,中,铖昌科技,001270,"相控阵T/R芯片领军者,星载+机载+舰载全场景覆盖毛利率高",5,5
国防军工,军工电子,信息化,小,雷电微力,301050,"毫米波微系统技术先锋,精确制导+通信对抗核心供应商产能释放",5,4
国防军工,军工电子,信息化,小,臻镭科技,688270,"射频芯片+电源管理,军工电子核心器件+国产替代加速",5,4
国防军工,军工材料,碳纤维复材,大,光威复材,300699,"碳纤维+复材一体化平台,军品基本盘稳固+风电氢能民用拓展",5,5
国防军工,军工材料,碳纤维复材,大,中简科技,300777,"航空航天级碳纤维龙头,军品占比高+技术壁垒+客户粘性强",5,5
国防军工,军工材料,碳纤维复材,大,中航高科,600862,"航空复材预浸料垄断,大飞机+军机复材渗透率提升主力",5,4
国防军工,军工材料,碳纤维复材,中,西部超导,688122,"高端钛合金+超导材料,航空发动机+大飞机钛材核心供应商",5,5
国防军工,军工材料,碳纤维复材,中,中复神鹰,688295,"高性能干喷湿纺碳纤维龙头,大丝束降本显著+压力容器/风电放量",5,4
国防军工,军工材料,碳纤维复材,中,华秦科技,688281,"隐身涂层材料绝对龙头,新一代战机/无人机隐身材料独家供应",5,5
国防军工,军工材料,碳纤维复材,小,铂力特,688333,"金属3D打印设备+服务,航发复杂构件+导弹结构件增材制造龙头",5,4
国防军工,军工材料,碳纤维复材,小,楚江新材,002171,"铜基材料+碳纤维复材,军工材料+民用高端制造双轮驱动",5,4
新能源,光伏技术,N型电池,大,隆基绿能,601012,"HPBC+HJT双技术路线引领,品牌渠道+成本控制+全球化布局领先",5,4
新能源,光伏技术,N型电池,大,晶科能源,688223,"TOPCon量产效率行业领先,海外渠道+大尺寸组件双轮驱动",5,4
新能源,光伏技术,N型电池,中,通威股份,600438,"硅料+电池片双龙头,成本控制极致+N型产能快速置换",5,4
新能源,光伏技术,N型电池,中,迈为股份,300751,"HJT整线设备绝对龙头,技术迭代快+客户绑定深订单能见度高",5,4
新能源,光伏技术,N型电池,小,协鑫能科,002015,"钙钛矿/叠层电池布局先锋,光伏+储能协同+技术路线卡位",5,3
新能源,光伏技术,N型电池,小,帝尔激光,300776,"光伏激光微加工设备,BC/TOPCon/HJT技术迭代受益弹性大",5,4
新能源,储能电池,储能系统,大,宁德时代,300750,"动力+储能电池全球双龙头,技术+成本+客户三重护城河盈利稳定",5,5
新能源,储能电池,储能系统,大,比亚迪,002594,"刀片电池+储能系统平台,全产业链垂直整合+海外储能爆发",5,5
新能源,储能电池,储能系统,中,阳光电源,300274,"逆变器+储能系统全球龙头,海外渠道+品牌溢价+光储协同优势突出",5,5
新能源,储能电池,储能系统,中,鹏辉能源,300438,"户储/大储电芯专精企业,储能业务占比提升+成本管控优化",5,4
新能源,储能电池,储能系统,小,南网科技,688248,"电网侧储能集成服务商,南方电网背景+调频调峰项目确定性高",5,4
新能源,储能电池,储能系统,小,科华数据,002335,"UPS+储能PCS双轮驱动,数据中心+微电网储能全场景覆盖",5,4
数据要素,数据资产,确权交易,大,人民网,603000,"数据确权+内容风控国家队,央媒背景+数据资源+政策卡位三重优势",5,4
数据要素,数据资产,确权交易,大,浙数文化,600633,"浙江大数据交易中心运营方,政务数据+文化数据双轮驱动变现清晰",5,4
数据要素,数据资产,确权交易,中,云赛智联,600602,"上海数据要素核心平台商,智慧城市+数据运营+国资云协同落地",5,4
数据要素,数据资产,确权交易,中,深桑达A,000032,"中国电子数据云核心载体,央企云底座+数据要素市场化先锋",5,4
数据要素,数据资产,确权交易,小,太极股份,002368,"政务云+数据治理国家队,中电科背景+部委级项目经验丰富",5,4
数据要素,数据资产,确权交易,小,易华录,300212,"城市数据湖运营领军者,蓝光存储+数据资产入表+央企重组预期",5,4
数据要素,数据安全,隐私计算,大,奇安信,688561,"网络安全全栈解决方案龙头,零信任+隐私计算+数据安全市占率第一",5,4
数据要素,数据安全,隐私计算,大,启明星辰,002439,"安全运营+数据安全领军者,中国移动入股+渠道协同加速政企拓展",5,4
数据要素,数据安全,隐私计算,中,安恒信息,688023,"数据安全+云安全专精企业,政务+金融+运营商客户深耕产品标准化",5,4
数据要素,数据安全,隐私计算,中,电科网安,002268,"密码技术+数据安全国家队,国密算法+密码机+数据脱敏全栈",5,4
数据要素,数据安全,隐私计算,小,国投智能,300188,"电子取证+数据审计龙头,司法公安+数据安全合规订单稳定",5,4
数据要素,数据安全,隐私计算,小,格尔软件,603232,"PKI密码基础设施,政务/金融/军工身份认证核心供应商",5,4
低空经济,飞行器制造,eVTOL整机,大,中信海直,000099,"通用航空运营绝对龙头,低空基建+运营+维修一体化布局深厚",5,4
低空经济,飞行器制造,eVTOL整机,大,万丰奥威,002085,"通用飞机+汽车零部件双轮,钻石飞机技术成熟+eVTOL合作预期强",5,4
低空经济,飞行器制造,eVTOL整机,中,纵横股份,688070,"工业无人机垂直起降龙头,长航时+自主飞行技术领先测绘巡检深耕",5,4
低空经济,飞行器制造,eVTOL整机,中,航天电子,600879,"航天测控+无人机系统,军工无人机技术外溢+低空飞行器配套",5,4
低空经济,飞行器制造,eVTOL整机,小,宗申动力,001696,"航空活塞发动机+低空动力,中小型无人机/eVTOL动力系统核心供应商",5,4
低空经济,飞行器制造,eVTOL整机,小,海特高新,002023,"航空维修+芯片+模拟机,低空飞行器检测维修+航电系统升级",5,3
低空经济,低空基建,通信空管,大,中国卫通,601698,"卫星通信运营国家队,低空通信+北斗导航+应急通信全场景覆盖",5,4
低空经济,低空基建,通信空管,大,海格通信,002465,"军用通信+北斗导航龙头,低空监视+指挥系统核心供应商订单稳",5,4
低空经济,低空基建,通信空管,中,莱斯信息,688631,"民航空管系统绝对龙头,低空交通管理+无人机管控系统核心供应商",5,4
低空经济,低空基建,通信空管,中,四川九洲,000801,"空管监视+ADS-B技术领先,低空空域数字化管理+地方国资支持",5,4
低空经济,低空基建,通信空管,小,深城交,301091,"城市交通规划+智慧交管专家,低空基础设施规划+UTM系统落地深圳",5,4
低空经济,低空基建,通信空管,小,华测导航,300627,"高精度定位技术领军者,无人机/自动驾驶+低空经济双轮驱动",5,4
创新药,前沿平台,ADC/GLP-1,大,恒瑞医药,600276,"创新药研发+商业化平台龙头,ADC+GLP-1+免疫治疗多管线出海医保双驱",4,4
创新药,前沿平台,ADC/GLP-1,大,药明康德,603259,"全球小分子+大分子CDMO龙头,多肽/ADC产能扩张+海外订单韧性极强",4,4
创新药,前沿平台,ADC/GLP-1,中,百济神州,688235,"肿瘤创新药出海标杆,泽布替尼全球销售放量+自研管线丰富",4,4
创新药,前沿平台,ADC/GLP-1,中,复星医药,600196,"创新药+器械+诊断平台,全球License-in/out+GLP-1布局完善",4,4
创新药,前沿平台,ADC/GLP-1,小,百利天恒,688506,"BL-B01D1双抗ADC领跑者,海外天价License-out+临床数据优异",4,4
创新药,前沿平台,ADC/GLP-1,小,翰宇药业,300199,"多肽原料药+制剂一体化企业,司美格鲁肽原料药出口+制剂国内申报",4,4
创新药,产业化,CDMO/CRO,大,凯莱英,002821,"小分子CDMO全球领先企业,多肽+ADC产能快速释放客户结构优化",4,4
创新药,产业化,CDMO/CRO,大,康龙化成,300759,"一体化CRDMO服务平台,临床前CRO+临床CRO+CMO全链条",4,4
创新药,产业化,CDMO/CRO,中,博腾股份,300363,"小分子CDMO专精平台企业,原料药+制剂一体化+产能利用率提升",4,4
创新药,产业化,CDMO/CRO,中,昭衍新药,603127,"临床前安评CRO龙头,非临床安全性评价+海外实验室布局",4,4
创新药,产业化,CDMO/CRO,小,美迪西,688202,"临床前+临床CRO双轮,一体化研发服务+产能弹性大",4,4
创新药,产业化,CDMO/CRO,小,药石科技,300725,"分子砌块+CDMO平台,早期药物发现关键中间体供应全球领先",4,4
消费升级,银发经济,医疗器械,大,鱼跃医疗,002223,"家用医疗器械全品类龙头,制氧机/血压计/血糖仪渠道品牌双强",4,4
消费升级,银发经济,医疗器械,大,迈瑞医疗,300760,"医疗器械国产绝对龙头,监护/超声/IVD全矩阵+海外高端突破",4,5
消费升级,银发经济,医疗器械,中,可孚医疗,301087,"家用器械+线上渠道双轮企业,血糖/听力/康复多品类性价比优势突出",4,4
消费升级,银发经济,医疗器械,中,乐心医疗,300562,"智能健康硬件+慢病管理平台,血压/血糖/体脂多品类医疗消费双场景",4,4
消费升级,银发经济,医疗器械,小,健麾信息,605186,"智慧药房+自动化设备,医院静配中心+自动化发药机渗透率提升",4,4
消费升级,银发经济,医疗器械,小,翔宇医疗,688626,"康复医疗器械全方案,康复设备+耗材+AI训练系统覆盖基层",4,4
消费升级,数字消费,AI终端,大,立讯精密,002475,"消费电子精密制造平台龙头,AI终端结构件+声学+连接器核心供应商",4,4
消费升级,数字消费,AI终端,大,传音控股,688036,"新兴市场智能终端龙头,本地化渠道+成本控制端侧AI快速适配",4,4
消费升级,数字消费,AI终端,中,光弘科技,300735,"EMS代工+AI手机/PC制造先锋,华为/小米核心代工厂产能弹性大",4,4
消费升级,数字消费,AI终端,中,蓝思科技,300433,"玻璃盖板+结构件龙头,AI终端外观升级+车载电子第二曲线",4,4
消费升级,数字消费,AI终端,小,福蓉科技,603327,"消费电子铝制结构件,AI终端散热/中框+苹果产业链弹性",4,3
消费升级,数字消费,AI终端,小,硕贝德,300322,"天线+散热+指纹模组,5G-A/AI终端射频升级+液冷散热放量",4,3
人形机器人,核心零部件,关节减速器,大,汇川技术,300124,"伺服系统+运动控制绝对龙头,工业机器人+人形机器人关节技术同源",4,3
人形机器人,核心零部件,关节减速器,大,绿的谐波,688017,"谐波减速器国产替代先锋,人形机器人关节核心供应商技术壁垒高",4,3
人形机器人,核心零部件,关节减速器,中,双环传动,002472,"RV减速器+精密齿轮龙头,工业机器人+人形机器人关节模组放量",4,3
人形机器人,核心零部件,关节减速器,中,中大力德,002896,"减速电机+精密传动,微型减速器+一体化关节模组批量供货",4,3
人形机器人,核心零部件,关节减速器,小,丰立智能,301368,"小模数齿轮+精密传动,机器人关节齿轮+汽车电子双轮驱动",4,3
人形机器人,核心零部件,关节减速器,小,五洲新春,603667,"精密轴承+丝杠组件,人形机器人行星滚柱丝杠核心供应商",4,3
人形机器人,核心零部件,微特电机,大,鸣志电器,603728,"空心杯电机+步进电机领军者,人形机器人灵巧手核心供应商技术领先",4,3
人形机器人,核心零部件,微特电机,大,江苏雷利,300660,"微特电机+线性执行器平台企业,医疗+机器人+汽车多场景成本管控优",4,3
人形机器人,核心零部件,微特电机,中,伟创电气,688698,"伺服驱动+运动控制专精企业,人形机器人关节模组协同技术迭代快",4,3
人形机器人,核心零部件,微特电机,中,步科股份,688160,"低压伺服+无框力矩电机,协作机器人+人形机器人关节核心部件",4,3
人形机器人,核心零部件,微特电机,小,兆威机电,003021,"微型传动系统龙头,灵巧手微型齿轮箱+医疗/机器人应用",4,3
人形机器人,核心零部件,微特电机,小,鼎智科技,873593,"线性执行器+微特电机,机器人线性关节+医疗推注泵核心供应商",4,3
人形机器人,核心零部件,传感器,大,柯力传感,603662,"力学传感器国产替代领军者,六维力矩传感器突破人形机器人核心件",4,3
人形机器人,核心零部件,传感器,大,奥普特,688686,"机器视觉+力控传感器龙头,3D视觉+AI算法工业+机器人双场景",4,3
人形机器人,核心零部件,传感器,中,汉威科技,300007,"气体+力学+多传感器平台企业,物联网+机器人+安全多场景渠道广",4,3
人形机器人,核心零部件,传感器,中,贝斯特,300580,"精密零部件+丝杠/导轨,滚柱丝杠+直线导轨人形机器人核心配套",4,3
人形机器人,核心零部件,传感器,小,恒帅股份,300969,"微电机+传感器总成,汽车+机器人执行器+位置传感器集成",4,3
人形机器人,核心零部件,传感器,小,长盛轴承,300718,"自润滑轴承+关节轴承,机器人柔性关节+免维护轴承国产替代",4,3
